placekey,poi_cbg,parent_placekey,location_name,brands,safegraph_brand_ids,store_id,top_category,sub_category,naics_code,open_hours,category_tags,latitude,longitude,street_address,city,region,postal_code,iso_country_code,opened_on,closed_on,tracking_closed_since,websites,phone_number,wkt_area_sq_meters
222-222@5wg-5f9-xwk,160519603004,null,The Church of Jesus Christ of Latter day Saints,null,null,null,Religious Organizations,Religious Organizations,813110,null,Churches,43.674808,-111.919806,258 W 1st N,Rigby,ID,83442,US,null,null,2019-07,"[""lds.org""]",+12087456782,2776
222-222@5wg-5f9-xwk,160519603004,null,The Church of Jesus Christ of Latter day Saints,null,null,null,Religious Organizations,Religious Organizations,813110,null,Churches,43.674808,-111.919806,258 W 1st N,Rigby,ID,83442,US,null,null,2019-07,"[""lds.org""]",+12087456782,2776
222-222@5wg-5f9-xwk,160519603004,null,The Church of Jesus Christ of Latter day Saints,null,null,null,Religious Organizations,Religious Organizations,813110,null,Churches,43.674808,-111.919806,258 W 1st N,Rigby,ID,83442,US,null,null,2019-07,"[""lds.org""]",+12087456782,2776
222-222@5wg-5f9-xwk,160519603002,null,The Church of Jesus Christ of Latter day Saints,null,null,null,Religious Organizations,Religious Organizations,813110,null,Churches,43.674808,-111.919806,258 W 1st N,Rigby,ID,83442,US,null,null,2019-07,"[""lds.org""]",+12087456782,2776
222-222@5wg-5f9-xwk,160519603002,null,The Church of Jesus Christ of Latter day Saints,null,null,null,Religious Organizations,Religious Organizations,813110,null,Churches,43.674808,-111.919806,258 W 1st N,Rigby,ID,83442,US,null,null,2019-07,"[""lds.org""]",+12087456782,2776
222-222@5wg-5f9-xwk,160519603002,null,The Church of Jesus Christ of Latter day Saints,null,null,null,Religious Organizations,Religious Organizations,813110,null,Churches,43.674808,-111.919806,258 W 1st N,Rigby,ID,83442,US,null,null,2019-07,"[""lds.org""]",+12087456782,2776
222-222@5wg-5f9-xwk,160519603002,null,The Church of Jesus Christ of Latter day Saints,null,null,null,Religious Organizations,Religious Organizations,813110,null,Churches,43.674808,-111.919806,258 W 1st N,Rigby,ID,83442,US,null,null,2019-07,"[""lds.org""]",+12087456782,2776
222-222@5wg-5f9-zj9,160519603003,null,The Church of Jesus Christ of Latter day Saints,null,null,null,Religious Organizations,Religious Organizations,813110,null,Churches,43.669403,-111.924253,401 W 1st S,Rigby,ID,83442,US,null,null,2019-07,"[""lds.org""]",+12087457216,1946
222-222@5wg-5wg-8gk,160199705011,null,The Church of Jesus Christ of Latter day Saints,null,null,null,Religious Organizations,Religious Organizations,813110,null,Churches,43.477568,-111.933638,2200 Stafford Dr,Ammon,ID,83401,US,null,2022-08,2019-07,"[""lds.org""]",+12085241098,1589
222-222@5wg-5wv-x89,160199704021,null,The Church of Jesus Christ of Latter day Saints,null,null,null,Religious Organizations,Religious Organizations,813110,null,Churches,43.526746,-111.973145,3055 E Iona Rd,Idaho Falls,ID,83401,US,null,null,2019-07,"[""lds.org""]",+12085220991,874
222-222@5wq-rrw-kcq,160679701002,null,The Church of Jesus Christ of Latter day Saints,null,null,null,Religious Organizations,Religious Organizations,813110,null,Churches,42.597287,-113.782243,153 S 600 W,Paul,ID,83347,US,null,null,2019-07,"[""lds.org""]",+12084382014,1672
222-222@5wq-rsr-zs5,160679701002,null,The Church of Jesus Christ of Latter day Saints,null,null,null,Religious Organizations,Religious Organizations,813110,null,Churches,42.605575,-113.725099,97 S 300 W,Rupert,ID,83350,US,null,null,2019-07,"[""lds.org""]",+12084363026,530
222-222@5wq-s88-rc5,1603195z05001,null,The Church of Jesus Christ of Latter day Saints,null,null,null,Religious Organizations,Religious Organizations,813110,null,Churches,42.532001,-113.802768,1650 Occidental Ave,Burley,ID,83318,US,null,null,2019-07,[],+12086787561,872
222-222@5wq-s89-vzz,160319505002,null,The Church of Jesus Christ of Latter day Saints,null,null,null,Religious Organizations,Religious Organizations,813110,null,Churches,42.52516,-113.795341,2202 Oakley Ave,Burley,ID,83318,US,null,null,2019-07,"[""lds.org""]",+12086782638,2254
222-222@5wq-s8g-wx5,null,null,The Church of Jesus Christ of Latter day Saints,null,null,null,Religious Organizations,Religious Organizations,813110,null,Churches,42.431476,-113.862386,350 W 700 S,Burley,ID,83318,US,null,null,2019-07,"[""lds.org""]",+12086781189,1236
