tract,median(estimatedMembers),avg(estimatedMembers),min(estimatedMembers),max(estimatedMembers),stddev_samp(estimatedMembers),count(estimatedMembers),team_name
112812,214.82709034714756,214.82709034714756,214.82709034714756,214.82709034714756,null,1,Marquet
112813,159.27636829996072,159.27636829996072,94.68514090610022,223.86759569382124,91.34578979072214,2,Marquet
112814,1826.267851980381,1826.267851980381,245.93253896823956,3406.6031649925226,2234.931632758901,2,Marquet
112815,327.5321067667511,327.5321067667511,327.5321067667511,327.5321067667511,null,1,Marquet
112816,238.39804058349057,238.39804058349057,223.28581114930094,253.5102700176802,21.37191982352486,2,Marquet
112817,548.9082203394744,548.9082203394744,548.9082203394744,548.9082203394744,null,1,Marquet
112819,242.8972677117348,465.5087003646536,185.07918531433154,968.5496480678944,436.6043735038155,3,Marquet
112820,268.60495337993177,248.15363952816807,106.77818441852173,305.2858081648261,80.5698907466131,5,Marquet
112821,302.0249650765685,302.0249650765685,295.9429763828847,308.1069537702523,8.60123089680745,2,Marquet
112822,269.62108872851053,269.62108872851053,269.62108872851053,269.62108872851053,null,1,Marquet
112823,290.5113503820487,411.54776959293736,281.9861172792105,662.1458411175529,217.06615348496106,3,Marquet
112904,185.07918531433154,185.07918531433154,185.07918531433154,185.07918531433154,0,3,Marquet
112905,260.929886588725,294.72163775780456,217.55213892950928,405.68288775517937,98.51246874752243,3,Marquet
112914,322.3875394908664,322.3875394908664,242.8972677117348,401.877811269998,112.4162204267712,2,Marquet
112916,8.985909522921805,8.985909522921805,8.985909522921805,8.985909522921805,null,1,Marquet
112917,291.89015096049263,291.89015096049263,291.89015096049263,291.89015096049263,null,1,Marquet
112920,134.54528205192133,134.54528205192133,134.54528205192133,134.54528205192133,null,1,Marquet
113007,291.89015096049263,291.89015096049263,291.89015096049263,291.89015096049263,null,1,Marquet
113008,269.62108872851053,234.95831902035806,122.92166158678842,312.3322067457752,99.34897763558743,3,Marquet
113011,430.16965961380714,430.16965961380714,185.07918531433154,675.2601339132827,346.61027276277287,2,Marquet
113012,746.0930852736675,746.0930852736675,237.9345629086028,1254.2516076387321,718.6446741641462,2,Marquet
113013,134.3202901529632,134.3202901529632,1.6039915333236667,267.0365887726027,187.68918945585187,2,Marquet
113014,431.77587291755395,431.77587291755395,283.31037815334764,580.2413676817603,209.9619162399723,2,Marquet
113016,426.0972813764391,426.0972813764391,318.68373620286513,533.5108265500131,151.90569236704343,2,Marquet
113017,160.1438638680944,160.1438638680944,1.6039915333236667,318.68373620286513,224.20923763273183,2,Marquet
113019,593.8138608255342,1361.243365027595,458.0712847792987,3031.8449494779525,1448.3745207003437,3,Marquet
113020,345.7620921302276,515.8775439591852,1.6039915333236667,1411.8606870483254,468.2039819593175,7,Marquet
113102,2475.416766597397,2475.416766597397,2475.416766597397,2475.416766597397,null,1,Marquet
113104,63.50494259691784,63.50494259691784,63.50494259691784,63.50494259691784,null,1,Marquet
113105,231.75058337036927,195.14739141124798,47.99649947715027,305.69509138622436,132.69131966401224,3,Marquet
113107,537.7258386463234,790.8128764066666,137.3071816612259,3427.8603440509005,1023.771764482238,9,Marquet
113108,294.1544889620214,294.1544889620214,294.1544889620214,294.1544889620214,null,1,Marquet
113214,369.5650425270583,369.5650425270583,369.5650425270583,369.5650425270583,null,1,Marquet
113308,149.55681516994576,149.55681516994576,149.55681516994576,149.55681516994576,null,1,Marquet
113310,264.4914089549586,264.4914089549586,264.4914089549586,264.4914089549586,null,1,Marquet
113406,143.50224325025863,143.50224325025863,127.5575495557855,159.4469369447318,22.549202070608693,2,Marquet
113407,246.23627453687652,246.23627453687652,223.86759569382124,268.60495337993177,31.634088992216867,2,Marquet
113408,285.7327871294273,268.2208345362216,205.64488148980374,313.28483498943365,55.91593028887777,3,Marquet
113409,8.458720802153374,8.458720802153374,8.458720802153374,8.458720802153374,null,1,Marquet
113410,197.2970691641941,197.2970691641941,127.5575495557855,267.0365887726027,98.62657446359586,2,Marquet
113412,185.76672019551452,185.76672019551452,185.76672019551452,185.76672019551452,null,1,Marquet
113505,263.91727147801527,263.91727147801527,263.91727147801527,263.91727147801527,null,1,Marquet
113509,276.992583736088,276.992583736088,276.992583736088,276.992583736088,null,1,Marquet
113513,1.6039915333236667,1.6039915333236667,1.6039915333236667,1.6039915333236667,null,1,Marquet
113515,413.819113033612,413.819113033612,189.4257908225365,638.2124352446874,317.3400795768588,2,Marquet
113520,189.4257908225365,189.4257908225365,189.4257908225365,189.4257908225365,null,1,Marquet
113521,355.3729891235946,336.7796315592594,248.96590287510102,456.807437278399,84.33801816062498,5,Marquet
113522,464.8234689670328,464.8234689670328,464.8234689670328,464.8234689670328,null,1,Marquet
113523,357.10192641967143,357.10192641967143,357.10192641967143,357.10192641967143,null,1,Marquet
113525,227.2195647080657,283.28594349179883,203.01914606241974,419.61911970491104,118.68641989681363,3,Marquet
113526,305.38085651953276,1857.7399423566665,287.91294013989,4979.926030410576,2703.906573525367,3,Marquet
113527,366.0803243691797,366.0803243691797,151.13794797426203,581.0227007640974,303.9744238263952,2,Marquet
113532,144.58287947814304,144.58287947814304,144.58287947814304,144.58287947814304,null,1,Marquet
113533,232.40908030563887,232.40908030563887,232.40908030563887,232.40908030563887,null,1,Marquet
113534,262.9131992764102,262.9131992764102,262.9131992764102,262.9131992764102,null,1,Marquet
113535,287.91294013989,311.1888836895543,192.69596536081963,452.95774556795334,131.68286038904975,3,Marquet
113539,198.80204341320353,198.80204341320353,169.9167449898735,227.68734183653356,40.84998078346751,2,Marquet
113600,166.9821254945176,166.9821254945176,78.20251580239062,255.76173518664456,125.55332808879584,2,Marquet
113701,254.63677300636928,254.63677300636928,254.63677300636928,254.63677300636928,0,2,Marquet
113702,252.53425500251583,252.53425500251583,252.53425500251583,252.53425500251583,null,1,Marquet
113801,247.45042165991435,258.8190035079739,201.60903698254324,338.7661337295236,57.51235579413747,4,Marquet
113803,209.4056675057828,209.51275993290145,127.5575495557855,314.1367075647352,76.07284217544955,6,Marquet
113903,227.68734183653356,227.68734183653356,227.68734183653356,227.68734183653356,null,1,Marquet
113905,343.53840092559375,343.53840092559375,216.91792106932846,470.158880781859,179.06839988691962,2,Marquet
113906,271.9910936324695,271.9910936324695,255.76173518664456,288.2204520782944,22.95177882269993,2,Marquet
113907,284.2983912988756,280.82843858335144,244.12061129897367,314.066313152205,35.10171977013749,3,Marquet
114000,716.978100265472,703.9413394313653,127.5575495557855,1254.2516076387321,635.8000792288461,4,Marquet
114100,216.4216788603058,216.4216788603058,127.5575495557855,305.2858081648261,125.67285687092901,2,Marquet
114300,599.2323828639468,516.3769685117678,132.25898713948192,830.8222006479687,265.6795220712388,6,Marquet
114600,284.2983912988756,367.13151325839954,245.73804906774708,571.358099408576,177.9131778878732,3,Marquet
114700,302.49557723185274,302.49557723185274,275.50156038661896,329.48959407708645,38.17530472545735,2,Marquet
115106,503.02356462137345,688.8938506874617,291.4942982976289,1723.0563170966916,584.6621600922365,5,Marquet
115209,261.4189735471677,261.4189735471677,217.55213892950928,305.2858081648261,62.03707245467011,2,Marquet
120800,381.7260706494158,381.7260706494158,381.7260706494158,381.7260706494158,null,1,Marquet
120904,534.416498909182,534.416498909182,534.416498909182,534.416498909182,null,1,Marquet
121906,291.4942982976289,291.4942982976289,291.4942982976289,291.4942982976289,null,1,Marquet
125102,239.32725134993893,321.6265509805249,144.58287947814304,580.9695221134926,229.53911759741914,3,Marquet
125103,271.58950503698384,287.5437131792947,189.4257908225365,432.2026151627845,75.81133000173047,8,Marquet
125104,142.45718484333565,142.45718484333565,1.6039915333236667,283.31037815334764,199.19649628257824,2,Marquet
125200,387.67522098629416,387.67522098629416,387.67522098629416,387.67522098629416,null,1,Marquet
125301,385.7225591975253,427.4303575465497,216.5999736424913,721.6763381486569,231.99736467900456,4,Marquet
125303,247.45042165991435,340.32688220464763,206.37485981676025,567.1553651372683,197.50992619946555,3,Marquet
125305,314.4082998409184,413.83145593397,283.31037815334764,623.6645207083219,166.3403561453381,5,Marquet
125401,248.4557377396102,300.34559800141733,185.07918531433154,527.1944309392464,132.32860306706766,8,Marquet
125403,483.9068355358303,425.33922307750305,217.51355553699224,545.6344511310795,129.3844211926384,9,Marquet
