fips,crime_rate_per_100000,EDITION,PART,IDNO,CPOPARST,CPOPCRIM,AG_ARRST,AG_OFF,COVIND,INDEX,MODINDX,MURDER,RAPE,ROBBERY,AGASSLT,BURGLRY,LARCENY,MVTHEFT,ARSON,population
19185,15.62011871,1,4,889,6333,6333,1,1,100.0,1,16,0,0,0,1,6,10,0,0,6402
19187,423.8203218,1,4,890,37806,37806,2,2,100.0,157,1342,0,24,16,117,241,1030,71,10,37044
19189,75.80064431,1,4,891,11170,10831,2,2,100.0,8,46,0,1,1,6,13,32,1,1,10554
19191,28.57959417,1,4,892,21106,21106,2,2,100.0,6,100,0,3,0,3,9,90,1,0,20994
19193,305.4929991,1,4,893,102913,102907,3,3,100.0,312,3761,3,36,46,227,709,2830,222,20,102130
19195,119.3475666,1,4,894,7573,7573,1,1,100.0,9,113,0,1,0,8,45,59,9,1,7541
19197,192.7227875,1,4,895,13119,13119,4,4,82.0337,25,154,0,4,1,20,37,111,6,1,12972
20101,232.5581395,1,4,946,1758,1758,1,1,100.0,4,14,1,0,0,3,3,7,4,1,1720
20103,443.8191469,1,4,947,77564,77570,5,6,100.0,347,1721,0,24,34,289,464,1142,115,34,78185
20105,0.0,1,4,948,3231,3231,1,1,91.6667,0,42,0,0,0,0,12,26,3,0,3147
20107,262.7154267,1,4,949,9661,8691,6,4,98.0612,25,156,0,4,0,21,58,81,17,5,9516
20109,321.6583274,1,4,950,2839,2797,2,2,75.7478,9,24,0,0,0,9,8,15,1,0,2798
20111,211.8770516,1,4,951,33936,33035,4,3,100.0,71,940,0,24,7,40,151,757,31,13,33510
20113,148.8044912,1,4,952,29390,27869,8,6,98.5031,44,760,1,8,2,33,313,421,26,4,29569
20115,40.91987888,1,4,953,12602,12602,7,7,95.3784,5,99,0,0,0,5,35,56,8,0,12219
20117,149.970006,1,4,954,10056,10056,5,5,86.3912,15,158,0,1,0,13,44,104,10,1,10002
20119,805.8945429,1,4,955,4554,4554,2,2,91.6667,35,28,0,1,0,34,5,23,0,0,4343
20121,197.9594944,1,4,956,30538,32882,4,5,100.0,65,681,0,20,0,45,154,489,37,14,32835
20123,297.8990279,1,4,957,6327,5862,3,2,100.0,19,63,0,3,0,16,15,45,3,1,6378
20125,615.303861,1,4,958,35089,35089,5,5,96.184,211,1208,1,17,17,176,303,858,48,20,34292
